Text,Date,search_term
"Calm down people. It’s just the new normal. Get used to it already. Love it and embrace it, right? I hope we get a vaccine and contact tracing soon. That would be swell ",06/02/2020,vaccine
@DrewOnTheRadio @TheJohnSenning racism was the vaccine for the virus ,06/02/2020,vaccine
With vaccines the numbers will be the same,06/02/2020,vaccine
Archie's came by for puppy vaccines PUPPY KISSES @Pet Dental USA - Peoria https://www.instagram.com/p/CA8diYmlAy4/?igshid=1e8n9s752rxym,06/02/2020,vaccine
Fuckin goofy! U think WE will b ok wit takin Vaccines? Ur Wharton professor was absolutely correct “Donald Trump is the dumbest got damn student I ever had.” Fake ass virus. If all these ppl weren’t social distancing at these protests why isnt there more corona cases/deaths??? ,06/02/2020,vaccine
Whar VACCINE? QUICK MAKE ONE OUT,06/02/2020,vaccine
"I love the optimism, but there are so many questions regarding testing, vaccines, cross border travel etc. It’ll be interesting to see how the WHL handles it all. #bdnmb #whl",06/02/2020,vaccine
No vaccine needed I guess,06/02/2020,vaccine
Shopped Seniors Hour at London Drugs St Albert this morning. Great service! Please keep it available until there’s a Covid vaccine! #Londondrugs,06/02/2020,vaccine
"But about difficult questions like ""Should the means of production be owned collectively,"" and ""Is capitalism necessarily fascist?"" Questions like ""Do vaccines work safely"" are easier to verify.",06/02/2020,vaccine
How much stock do you and @jaredkushner @VP have invested in vaccines and their distribution.? In deep is my guess. Your followers say they won’t take it anyway because YOU told them it was a hoax . ,06/02/2020,vaccine
"Welcome to Gandolf’s twins Gordon Ramsay and brothers Marvin and Tom. Rescued 3 days ago, adjusting great. Will be headed for vetting in a week-neuter, vaccines, combo test, chip...4 boys PLEASE RT for donations. http://paypal.me/ppknox ",06/02/2020,vaccine
“Vaccines are coming along really well” ur a fuckin idiot ,06/02/2020,vaccine
I wish a vaccine could be found for Trump Derangement Syndrome!,06/02/2020,vaccine
How are the schools safer than before? They’re will be no vaccine ready in time. What’s the plan?,06/02/2020,vaccine
Racism is our real pandemic and in 400 years we’ve yet to find a vaccine,06/02/2020,vaccine
Vaccines are a death sentence from #evilBillGates,06/02/2020,vaccine
Why can’t all of these brilliant doctors find a cure or successfull treatment. Why does there always have to be a disgusting vaccine?,06/02/2020,vaccine
"YOU SHOYLD TELL YOUR NUTTY FOLLOWERS THAT THE VACCINES WILL CONTAIN HUMAN DNA SOME FROM ABORTED BABIES ,,, DON'T TAKE MY WORD FOR IT ,,INVESTIGATE RIP GOP TITANIC",06/02/2020,vaccine
"AHT AHT! He’s old, stubborn and will not comply with wearing a mask! Catch him in BHM after we get a vaccine ",06/02/2020,vaccine
"I hope risky vaccines are by choice, not forced!",06/02/2020,vaccine
I hope he’s talking about a maga vaccine. I hear it rots the brain. ,06/02/2020,vaccine
Will you take the blue pill vaccine of death ? Not me,06/02/2020,vaccine
I could understand the queue if it was for food or a test or vaccine. But IKEA? Why???,06/02/2020,vaccine
"Realistic communication from @GOPconvention would help. Rather than posturing to blame. Pandemic won't go away until a vaccine. All know that SD/mask protocols will be necessary. Face it: unless confident w safety, even many @GOP delegates wont put themselves in harms way.",06/02/2020,vaccine
My Zoe is included in the children’s montage at the end of “The Road to a Vaccine” episode 8 thanking health care workers. ,06/02/2020,vaccine
Keep the vaccines,06/02/2020,vaccine
No vaccines,06/02/2020,vaccine
Surgisphere database May turn out to be the biggest scientific fraud and most consequential since the retracted Lancet article about autism and vaccines. It Affected 2 premier publications. NEJM AND Lancet. ,06/02/2020,vaccine
We covered everything #COVID from vaccines to camp to health disparities. Check it out @ashishkjha @RELewiss @UMCVD,06/02/2020,vaccine
It was just 2 weeks ago @SylvesterTurner encouraged us not to go out even though businesses were open.. “because we don’t have a vaccine and Covid is still spreading.“Look at him now. Eating his words a bit?,06/02/2020,vaccine
"Ok, another extra layer for this 2020 cake: anti-Vaxers. Well, let’s hope that sometime soon there will be an effective and safe vaccine against SARS-CoV-2 in large enough quantities to vaccinate every sensible person who may want to get it . ",06/02/2020,vaccine
NOT. TAKING. ANY. VACCINE.,06/02/2020,vaccine
133 vaccines in the works... may be ready January thru June 2021. ,06/02/2020,vaccine
"Sigh. Some of us can't get vaccinated. I'm fighting cancer, and if I'm ever going to enter society again, I'm going to need to rely on herd immunity from vaccines.",06/02/2020,vaccine
 No mandatory vaccines ,06/02/2020,vaccine
I am not taking no vaccine,06/02/2020,vaccine
"So now in his repertoire Trump is resorting to bible thumping . Along with pushing his vaccine Hydrechloroquine , he developed the name of snake oil salesman .The biggest con man on earth .Isn't there an experation date stamped under that possum on his head ,?",06/02/2020,vaccine
“Vaccines Cause “All Lives Autism“ ppl Matter” ppl Missing The Point,06/02/2020,vaccine
