Text,Date,search_term
"Several municipal dumps are closed right now bc of COVID-19. Not sure if that is the cause, but certainly very frustrating that some ppl can be so inconsiderate.",04/01/2020,covid-19
At least 66 Italian doctors died thusfar due to the Covid-19 crisis (source BBC).,04/01/2020,covid-19
"People dying in the streets, waiting for ambulance that never comes, calling for oxygen that never arrives Someone tweeted me from Peru, it's is the same there & everywhere. Why aren't Billionaires helping these people? @CNN #CoronaVirus @V2019N @COVID19Tracking",04/01/2020,covid-19
We were happy to accept a donation of 1000 surgical masks from the Chinese Education and Culture Center in St. Louis . This equipment will be distributed to agencies in need to ensure that frontline personnel have the equipment needed during our response to the COVID-19 pandemic. ,04/01/2020,covid-19
Construcción de políticas públicas en tiempos del #COVID19. Porque no pararemos #HastaEncontrarles.,04/01/2020,covid-19
Coronavirus: A Dangerous Geo-Political Blame Game Erupts https://youtu.be/YFwkjlaYJeA via @YouTube. Worth watching. The consequences of Covid19 are just beginning to come to light. Basically think of a combination of the Spanish Flu AND The Great Depression. Grow a garden! ,04/01/2020,covid-19
My friends Drs. Wilson and Quigley from Montréal have COVID-19 but that won’t stop them from reminding you (on national TV) to act like you have the virus and stay away from people!!! #COVIDー19,04/01/2020,covid-19
"Beating COVID19: I remember when my own father was near death with bladder cancer—he died on this very day, 13 years ago—and learnt that a person with cancer may actually have 1000 X the acidity of a normal healthy person. Yes, Cancer, too, thrives in an Acidic environment. ",04/01/2020,covid-19
"Etong si DUTERTE, gusto barilan at patayan agad. Oh eh di unahin ka na! Isama na rin si @SenKokoPimentel na namasyal pa sa ospital bitbit ang virus nya. Yung mayor na walng ginawa kundi atupagin ang ikaka-buti ng Pasig bago pa magka-#Covid_19, pagti-tripan nyo? Mga ungas!! ",04/01/2020,covid-19
" Tomorrow at 8:45 am., I will be interview by @rdavisfox10 10 about how this covid-19 virus has impacted our restaurant businesses in Sedona, Arizona. As the largest restaurant employer in Sedona, I am going to… https://www.instagram.com/p/B-dP19fnxlU/?igshid=jttlmnzs2y1g",04/01/2020,covid-19
"Thank you, COVID-19, for making no contact delivery a thing so I don’t have to be judged by my Jimmy John’s driver for ordering just bread.",04/01/2020,covid-19
"I'm not only concerned about people struggling in resource-starved urban communities (where I'm from and still live), I'm also thinking about those in small cities/towns and rural areas. The small sampling I've seen from the latter re: Covid-19 doesn't seem promising.",04/01/2020,covid-19
The faces of the COVID-19 fight across Canada are female. Here’s why that matters via @TorontoStar,04/01/2020,covid-19
"Michigan Gov Threatened Docs Who Used Promising COVID-19 Drug, Now She's Begging Trump for It ",04/01/2020,covid-19
One upside of the Covid-19 situation: I know the names of more state governors than at any other point in my life.,04/01/2020,covid-19
#BeLikeSandra She is beautiful and smart. More than you can say for some people. #COVID19 ,04/01/2020,covid-19
"If anyone is having a harder day I recommend staying off most social media. On twitter mute words that would bring up news (coronavirus / covid19 / politician names / death), stay off trending topics except the fun or entertainment ones. Doing this today",04/01/2020,covid-19
"Seems fishy when the U.S. has no problem getting body bags, but it's a big problem supplying masks and ventilators. #Covid_19",04/01/2020,covid-19
Market Strategy: Keep Cost Basis Low #WednesdayWisdom #Stocks #markets #retirement #investing #coronavirus #COVIDー19 #economy #Recession2020 #COVID19 #recession #strategy #money #Finance #women https://bit.ly/3bH30KY,04/01/2020,covid-19
"I get that COVID-19 is a big deal, but I’m officially unamused that we they’ve been showing news instead of Wheel of Fortune all week. #QuarantineProblems",04/01/2020,covid-19
Ya murió otra persona en Sinaloa por #covid19 ahora en mochis. ,04/01/2020,covid-19
#tanka #micropoetry my damn phone keeps asking me if I want to add #COVID19 to my dictionary but I keep pressing no,04/01/2020,covid-19
"Ultima Hora. Cifras de covid-19 9 8 7 6 5 Como,Donde,Cuando,Como se llama,Casado,Divorciado etc...??? Asi es mi pais todos los detalles,nada solidarios Antes de criticar #QuedateEnCasaYa #QuedateEnCasaSv",04/01/2020,covid-19
Love in the time of COVID-19. #seenonmyrun – at The Lake,04/01/2020,covid-19
You can see similar MRI findings in H1N1 and Japanese Equine Enxephalitis: Woman with COVID-19 developed a rare brain condition. Doctors suspect a link. ,04/01/2020,covid-19
Viene holograma del campeón Covid-19 ?,04/01/2020,covid-19
Have y’all seen a covid-19 weeding how about that ,04/01/2020,covid-19
BBC News - Coronavirus: India's race to build a low-cost ventilator to save Covid-19 patients ,04/01/2020,covid-19
"@md_rogue latest COVID-19 update for April 1, 2020. Closing in on 1,000,000 cases worldwide with close to 50,000 deaths. Measured fatality rate worldwide currently 5% and USA case fatality rate 2.2%. Here in the USA,… https://www.instagram.com/p/B-dPrWRj37F/?igshid=7s2ifb35dqbh",04/01/2020,covid-19
