Date,search_term,Sentiment_Pred_x,TweetCleaned,Sentiment_Pred_y,Sentiment_Score
04/18/2020,pandemic,289,500,500,0.578
04/18/2020,quarantine,271,500,500,0.542
04/18/2020,vaccine,356,500,500,0.712
04/19/2020,covid,259,500,500,0.518
04/19/2020,covid-19,251,500,500,0.502
04/19/2020,lockdown,298,499,499,0.5971943887775552
04/19/2020,lysol,50,62,62,0.8064516129032258
04/19/2020,pandemic,288,500,500,0.576
04/19/2020,quarantine,266,500,500,0.532
04/19/2020,vaccine,361,500,500,0.722
04/20/2020,covid,254,500,500,0.508
04/20/2020,covid-19,247,500,500,0.494
04/20/2020,lockdown,254,500,500,0.508
04/20/2020,lysol,46,54,54,0.8518518518518519
04/20/2020,pandemic,281,500,500,0.562
04/20/2020,quarantine,321,500,500,0.642
04/20/2020,vaccine,363,500,500,0.726
04/21/2020,covid,279,500,500,0.558
04/21/2020,covid-19,266,500,500,0.532
04/21/2020,lockdown,309,499,499,0.6192384769539078
04/21/2020,lysol,54,66,66,0.8181818181818182
04/21/2020,pandemic,296,500,500,0.592
04/21/2020,quarantine,290,500,500,0.58
04/21/2020,vaccine,377,500,500,0.754
04/22/2020,covid,247,500,500,0.494
04/22/2020,covid-19,265,500,500,0.53
04/22/2020,lockdown,302,500,500,0.604
04/22/2020,lysol,57,71,71,0.8028169014084507
04/22/2020,pandemic,322,500,500,0.644
04/22/2020,quarantine,281,500,500,0.562
04/22/2020,vaccine,381,500,500,0.762
04/23/2020,covid,259,500,500,0.518
04/23/2020,covid-19,253,499,499,0.5070140280561122
04/23/2020,lockdown,296,500,500,0.592
04/23/2020,lysol,153,194,194,0.788659793814433
04/23/2020,pandemic,287,500,500,0.574
04/23/2020,quarantine,296,500,500,0.592
04/23/2020,vaccine,370,500,500,0.74
04/24/2020,covid,260,500,500,0.52
04/24/2020,covid-19,249,500,500,0.498
04/24/2020,lockdown,294,500,500,0.588
04/24/2020,lysol,394,498,498,0.7911646586345381
04/24/2020,pandemic,304,500,500,0.608
04/24/2020,quarantine,296,500,500,0.592
04/24/2020,vaccine,369,500,500,0.738
04/25/2020,covid,253,500,500,0.506
04/25/2020,covid-19,262,500,500,0.524
04/25/2020,lockdown,323,500,500,0.646
04/25/2020,lysol,361,499,499,0.7234468937875751
04/25/2020,pandemic,311,500,500,0.622
04/25/2020,quarantine,284,500,500,0.568
04/25/2020,vaccine,375,500,500,0.75
04/26/2020,covid,275,500,500,0.55
04/26/2020,covid-19,264,500,500,0.528
04/26/2020,lockdown,299,500,500,0.598
04/26/2020,lysol,369,500,500,0.738
04/26/2020,pandemic,311,500,500,0.622
04/26/2020,quarantine,288,500,500,0.576
04/26/2020,vaccine,380,500,500,0.76
04/27/2020,covid,249,500,500,0.498
04/27/2020,covid-19,258,500,500,0.516
04/27/2020,lockdown,302,499,499,0.6052104208416834
04/27/2020,lysol,279,378,378,0.7380952380952381
04/27/2020,pandemic,277,500,500,0.554
04/27/2020,quarantine,289,500,500,0.578
04/27/2020,vaccine,393,500,500,0.786
04/28/2020,covid,271,500,500,0.542
04/28/2020,covid-19,266,500,500,0.532
04/28/2020,lockdown,328,500,500,0.656
04/28/2020,lysol,219,289,289,0.7577854671280276
04/28/2020,pandemic,301,500,500,0.602
04/28/2020,quarantine,297,500,500,0.594
04/28/2020,vaccine,393,500,500,0.786
04/29/2020,lysol,131,187,187,0.7005347593582888
05/01/2020,covid,270,499,499,0.5410821643286573
05/01/2020,covid-19,243,499,499,0.48697394789579157
05/01/2020,lockdown,280,500,500,0.56
05/01/2020,lysol,22,28,28,0.7857142857142857
05/01/2020,pandemic,327,500,500,0.654
05/01/2020,quarantine,291,500,500,0.582
05/01/2020,vaccine,254,366,366,0.6939890710382514
05/02/2020,covid,280,500,500,0.56
05/02/2020,covid-19,264,500,500,0.528
05/02/2020,lockdown,299,500,500,0.598
05/02/2020,lysol,53,72,72,0.7361111111111112
05/02/2020,pandemic,289,500,500,0.578
05/02/2020,quarantine,283,500,500,0.566
05/02/2020,vaccine,363,500,500,0.726
05/03/2020,covid,275,500,500,0.55
05/03/2020,covid-19,273,500,500,0.546
05/03/2020,lockdown,314,500,500,0.628
05/03/2020,lysol,77,105,105,0.7333333333333333
05/03/2020,pandemic,297,500,500,0.594
05/03/2020,quarantine,284,500,500,0.568
05/03/2020,vaccine,378,500,500,0.756
05/04/2020,covid,269,500,500,0.538
05/04/2020,covid-19,275,500,500,0.55
05/04/2020,lockdown,290,499,499,0.5811623246492986
05/04/2020,lysol,75,94,94,0.7978723404255319
05/04/2020,pandemic,259,500,500,0.518
05/04/2020,quarantine,280,500,500,0.56
05/04/2020,vaccine,375,500,500,0.75
05/05/2020,covid,285,500,500,0.57
05/05/2020,covid-19,277,500,500,0.554
05/05/2020,lockdown,310,500,500,0.62
05/05/2020,lysol,72,82,82,0.8780487804878049
05/05/2020,pandemic,287,500,500,0.574
05/05/2020,quarantine,294,500,500,0.588
05/05/2020,vaccine,362,500,500,0.724
05/06/2020,covid,258,500,500,0.516
05/06/2020,covid-19,234,500,500,0.468
05/06/2020,lockdown,319,500,500,0.638
05/06/2020,lysol,72,94,94,0.7659574468085106
05/06/2020,pandemic,299,500,500,0.598
05/06/2020,quarantine,266,500,500,0.532
05/06/2020,vaccine,384,500,500,0.768
05/07/2020,covid,262,500,500,0.524
05/07/2020,covid-19,287,500,500,0.574
05/07/2020,lockdown,312,500,500,0.624
05/07/2020,lysol,62,71,71,0.8732394366197183
05/07/2020,pandemic,298,500,500,0.596
05/07/2020,quarantine,306,500,500,0.612
05/07/2020,vaccine,383,500,500,0.766
05/08/2020,covid,279,500,500,0.558
05/08/2020,covid-19,274,500,500,0.548
05/08/2020,lockdown,297,499,499,0.5951903807615231
05/08/2020,lysol,76,91,91,0.8351648351648352
05/08/2020,pandemic,294,500,500,0.588
05/08/2020,quarantine,287,500,500,0.574
05/08/2020,vaccine,385,500,500,0.77
05/09/2020,covid,266,500,500,0.532
05/09/2020,covid-19,263,500,500,0.526
05/09/2020,lockdown,301,500,500,0.602
05/09/2020,lysol,84,101,101,0.8316831683168316
05/09/2020,pandemic,311,500,500,0.622
05/09/2020,quarantine,289,500,500,0.578
05/09/2020,vaccine,375,500,500,0.75
05/10/2020,covid,250,500,500,0.5
05/10/2020,covid-19,258,500,500,0.516
05/10/2020,lockdown,310,499,499,0.6212424849699398
05/10/2020,lysol,61,80,80,0.7625
05/10/2020,pandemic,308,500,500,0.616
05/10/2020,quarantine,298,500,500,0.596
05/10/2020,vaccine,348,449,449,0.7750556792873051
05/11/2020,covid,259,500,500,0.518
05/11/2020,covid-19,276,500,500,0.552
05/11/2020,lockdown,344,500,500,0.688
05/11/2020,lysol,53,66,66,0.803030303030303
05/11/2020,pandemic,310,500,500,0.62
05/11/2020,quarantine,288,500,500,0.576
05/11/2020,vaccine,367,500,500,0.734
05/12/2020,covid,255,500,500,0.51
05/12/2020,covid-19,266,500,500,0.532
05/12/2020,lockdown,322,499,499,0.6452905811623246
05/12/2020,lysol,56,68,68,0.8235294117647058
05/12/2020,pandemic,318,500,500,0.636
05/12/2020,quarantine,311,500,500,0.622
05/12/2020,vaccine,374,500,500,0.748
05/13/2020,covid,275,500,500,0.55
05/13/2020,covid-19,275,500,500,0.55
05/13/2020,lockdown,294,500,500,0.588
05/13/2020,lysol,68,88,88,0.7727272727272727
05/13/2020,pandemic,279,500,500,0.558
05/13/2020,quarantine,286,500,500,0.572
05/13/2020,vaccine,372,500,500,0.744
05/14/2020,covid,270,500,500,0.54
05/14/2020,covid-19,265,500,500,0.53
05/14/2020,lockdown,314,500,500,0.628
05/14/2020,lysol,60,80,80,0.75
05/14/2020,pandemic,283,500,500,0.566
05/14/2020,quarantine,273,500,500,0.546
05/14/2020,vaccine,372,500,500,0.744
05/15/2020,covid,246,499,499,0.49298597194388777
05/15/2020,covid-19,247,500,500,0.494
05/15/2020,lockdown,309,500,500,0.618
05/15/2020,lysol,78,94,94,0.8297872340425532
05/15/2020,pandemic,291,500,500,0.582
05/15/2020,quarantine,279,500,500,0.558
05/15/2020,vaccine,382,500,500,0.764
05/16/2020,covid,269,500,500,0.538
05/16/2020,covid-19,265,500,500,0.53
05/16/2020,lockdown,319,500,500,0.638
05/16/2020,lysol,61,70,70,0.8714285714285714
05/16/2020,pandemic,291,500,500,0.582
05/16/2020,quarantine,279,500,500,0.558
05/16/2020,vaccine,367,500,500,0.734
05/17/2020,covid,256,500,500,0.512
05/17/2020,covid-19,271,500,500,0.542
05/17/2020,lockdown,310,500,500,0.62
05/17/2020,lysol,51,67,67,0.7611940298507462
05/17/2020,pandemic,294,500,500,0.588
05/17/2020,quarantine,296,500,500,0.592
05/17/2020,vaccine,372,500,500,0.744
05/18/2020,covid,260,500,500,0.52
05/18/2020,covid-19,269,500,500,0.538
05/18/2020,lockdown,283,499,499,0.5671342685370742
05/18/2020,lysol,92,112,112,0.8214285714285714
05/18/2020,pandemic,300,500,500,0.6
05/18/2020,quarantine,259,499,499,0.5190380761523046
05/18/2020,vaccine,377,500,500,0.754
05/19/2020,covid,287,500,500,0.574
05/19/2020,covid-19,297,500,500,0.594
05/19/2020,lockdown,303,500,500,0.606
05/19/2020,lysol,95,117,117,0.811965811965812
05/19/2020,pandemic,324,500,500,0.648
05/19/2020,quarantine,281,500,500,0.562
05/19/2020,vaccine,376,500,500,0.752
05/20/2020,covid,271,500,500,0.542
05/20/2020,covid-19,263,500,500,0.526
05/20/2020,lockdown,309,500,500,0.618
05/20/2020,lysol,58,80,80,0.725
05/20/2020,pandemic,300,500,500,0.6
05/20/2020,quarantine,276,500,500,0.552
05/20/2020,vaccine,392,500,500,0.784
05/21/2020,covid,280,500,500,0.56
05/21/2020,covid-19,284,500,500,0.568
05/21/2020,lockdown,297,499,499,0.5951903807615231
05/21/2020,lysol,54,73,73,0.7397260273972602
05/21/2020,pandemic,297,500,500,0.594
05/21/2020,quarantine,286,500,500,0.572
05/21/2020,vaccine,381,500,500,0.762
05/22/2020,covid,276,500,500,0.552
05/22/2020,covid-19,274,500,500,0.548
05/22/2020,lockdown,303,500,500,0.606
05/22/2020,lysol,51,75,75,0.68
05/22/2020,pandemic,299,500,500,0.598
05/22/2020,quarantine,278,500,500,0.556
05/22/2020,vaccine,401,500,500,0.802
05/23/2020,covid,282,500,500,0.564
05/23/2020,covid-19,285,500,500,0.57
05/23/2020,lockdown,298,500,500,0.596
05/23/2020,lysol,67,75,75,0.8933333333333333
05/23/2020,pandemic,332,500,500,0.664
05/23/2020,quarantine,274,500,500,0.548
05/23/2020,vaccine,312,411,411,0.7591240875912408
